date;title;price;km;year;url;province
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV 5p.;23990;52000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-5p-gasolina-2019-en-pontevedra-57101697-covo.aspx;Pontevedra
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21900;42000;2020;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-alicante-57153652-covo.aspx;Alicante
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24990;33000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57462688-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23990;87000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-toledo-57456142-covo.aspx;Toledo
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;19999;85938;2019;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-granada-57380114-covo.aspx;Granada
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23490;47000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57447420-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo 2.0 TSI 147kW 200CV DSG GTI 5p.;22099;72499;2018;/volkswagen-polo-20-tsi-147kw-200cv-dsg-gti-5p-gasolina-2018-en-sevilla-57446100-covo.aspx;Sevilla
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23500;100000;2019;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-a-coruna-56341166-covo.aspx;A Coruña
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24650;37000;2020;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-56737656-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21500;80000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-alicante-57435979-covo.aspx;Alicante
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;22650;77990;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-madrid-57371923-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21499;90000;2019;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-57031812-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo 2.0 TSI 147kW 200CV DSG GTI 5p.;24000;53000;2018;/volkswagen-polo-20-tsi-147kw-200cv-dsg-gti-5p-gasolina-2018-en-barcelona-57428608-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21889;48271;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-granada-57428165-covo.aspx;Granada
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG;22900;49900;2020;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57379352-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23900;11000;2019;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-madrid-57080287-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23900;39760;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-girona-57226360-covo.aspx;Girona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;22690;34000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57278782-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23900;39760;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57401279-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;22650;77990;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-madrid-57379531-covo.aspx;Madrid
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;22990;86000;2019;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57317477-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo 2.0 TSI 147kW 200CV DSG GTI 5p.;22099;72499;2018;/volkswagen-polo-20-tsi-147kw-200cv-dsg-gti-5p-gasolina-2018-en-barcelona-57397702-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23790;63000;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57389053-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;23900;39760;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-valencia-57383714-covo.aspx;Valencia
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21000;50000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-almeria-56563628-covo.aspx;Almería
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24390;89255;2019;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-pontevedra-57357695-covo.aspx;Pontevedra
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo 2.0 TSI 147kW 200CV DSG GTI 5p.;21000;55000;2018;/volkswagen-polo-20-tsi-147kw-200cv-dsg-gti-5p-gasolina-2018-en-castellon-56608555-covo.aspx;Castellón
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;21500;100000;2018;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-girona-56188715-covo.aspx;Girona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;24300;58500;2019;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-57243772-covo.aspx;Barcelona
2024-03-28 00:36:45.063319;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;26000;28000;2020;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-malaga-57356120-covo.aspx;Málaga
